Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Prefixado com Juros Semestrais;01/01/2025;24/03/2022;12,09;12,21;976,89;973,92;973,92
Tesouro IPCA+ com Juros Semestrais;15/05/2035;24/03/2022;5,6;5,72;4089,1;4044,65;4044,65
Tesouro Selic;01/03/2025;24/03/2022;0,05;0,06;11468,44;11459,99;11459,99
Tesouro IPCA+;15/08/2024;24/03/2022;5,34;5,46;3411,17;3400,2;3400,2
Tesouro IPCA+ com Juros Semestrais;15/08/2032;24/03/2022;5,6;5,72;4007,56;3969,79;3969,79
Tesouro Prefixado com Juros Semestrais;01/01/2023;25/04/2022;12,97;13,09;1011,82;1010,61;1010,61
Tesouro Prefixado;01/01/2025;25/04/2022;12,19;12,31;734,17;731,72;731,72
Tesouro Prefixado com Juros Semestrais;01/01/2029;25/04/2022;12,23;12,35;935,93;930,72;930,72
Tesouro IPCA+ com Juros Semestrais;15/08/2024;25/04/2022;5,49;5,61;4009,66;3997,93;3997,93
Tesouro IPCA+;15/08/2026;25/04/2022;5,33;5,45;3136,7;3119,91;3119,91
Tesouro Prefixado com Juros Semestrais;01/01/2033;25/04/2022;12,32;12,44;900,97;894,48;894,48
Tesouro IPCA+ com Juros Semestrais;15/05/2045;25/04/2022;5,73;5,85;4165,72;4104,39;4104,39
Tesouro IGPM+ com Juros Semestrais;01/01/2031;25/04/2022;5,47;5,59;9409,04;9337,31;9337,31
Tesouro IPCA+ com Juros Semestrais;15/05/2055;25/04/2022;5,77;5,89;4165,5;4094,79;4094,79
Tesouro IPCA+ com Juros Semestrais;15/08/2026;25/04/2022;5,34;5,46;4063,12;4043,57;4043,57
Tesouro Selic;01/03/2023;25/04/2022;0,05;0,06;11581,5;11575,39;11575,39
Tesouro Selic;01/09/2024;25/04/2022;0,12;0,13;11553,29;11545,43;11545,43
Tesouro Prefixado com Juros Semestrais;01/01/2031;25/04/2022;12,31;12,43;915,48;909,55;909,55
Tesouro IPCA+;15/05/2035;25/04/2022;5,63;5,75;1923,33;1894,22;1894,22
Tesouro Prefixado;01/01/2023;25/04/2022;12,97;13,09;919,24;918,12;918,12
Tesouro Prefixado;01/07/2024;25/04/2022;12,46;12,58;775;772,84;772,84
Tesouro Prefixado;01/01/2029;25/04/2022;12,21;12,33;463,93;460,42;460,42
Tesouro Prefixado com Juros Semestrais;01/01/2025;25/04/2022;12,26;12,38;982,28;979,37;979,37
Tesouro IPCA+ com Juros Semestrais;15/05/2035;25/04/2022;5,59;5,71;4175,94;4131,11;4131,11
Tesouro Prefixado;01/01/2026;25/04/2022;12,09;12,21;656,25;653,37;653,37
Tesouro Selic;01/03/2025;25/04/2022;0,13;0,14;11543,57;11535,14;11535,14
Tesouro Prefixado com Juros Semestrais;01/01/2027;25/04/2022;12,14;12,26;959,2;954,96;954,96
Tesouro IPCA+;15/08/2024;25/04/2022;5,5;5,62;3467,8;3457,12;3457,12
Tesouro IPCA+;15/05/2045;25/04/2022;5,63;5,75;1113,88;1084,68;1084,68
Tesouro IPCA+ com Juros Semestrais;15/08/2032;25/04/2022;5,55;5,67;4104,3;4066,14;4066,14
Tesouro IPCA+ com Juros Semestrais;15/08/2030;25/04/2022;5,46;5,58;4107,96;4075,24;4075,24
Tesouro IPCA+ com Juros Semestrais;15/08/2040;25/04/2022;5,62;5,74;4138,81;4083,63;4083,63
Tesouro IPCA+ com Juros Semestrais;15/08/2050;25/04/2022;5,75;5,87;4109,45;4042,49;4042,49
Tesouro Selic;01/03/2027;25/04/2022;0,21;0,22;11471;11460,33;11460,33
Tesouro Prefixado com Juros Semestrais;01/01/2023;26/05/2022;13,39;13,51;1020,96;1019,82;1019,82
Tesouro Prefixado;01/01/2025;26/05/2022;12,41;12,53;738,15;735,77;735,77
Tesouro Prefixado com Juros Semestrais;01/01/2029;26/05/2022;12,49;12,61;935,61;930,5;930,5
Tesouro IPCA+ com Juros Semestrais;15/08/2024;26/05/2022;5,84;5,96;4042,1;4030,93;4030,93
Tesouro IPCA+;15/08/2026;26/05/2022;5,57;5,69;3153,03;3136,69;3136,69
Tesouro Prefixado com Juros Semestrais;01/01/2033;26/05/2022;12,53;12,65;900,03;893,67;893,67
Tesouro IPCA+ com Juros Semestrais;15/05/2045;26/05/2022;5,81;5,93;4071,82;4011,15;4011,15
Tesouro IGPM+ com Juros Semestrais;01/01/2031;26/05/2022;5,63;5,75;9395,73;9329,5;9329,5
Tesouro IPCA+ com Juros Semestrais;15/05/2055;26/05/2022;5,83;5,95;4076,86;4006,75;4006,75
Tesouro IPCA+ com Juros Semestrais;15/08/2026;26/05/2022;5,59;5,71;4087,31;4068,34;4068,34
Tesouro Selic;01/03/2023;26/05/2022;0,04;0,05;11706,54;11700,05;11700,05
Tesouro Selic;01/09/2024;26/05/2022;0,11;0,12;11681,95;11673,7;11673,7
Tesouro Prefixado com Juros Semestrais;01/01/2031;26/05/2022;12,5;12,62;916,58;910,74;910,74
Tesouro IPCA+;15/05/2035;26/05/2022;5,74;5,86;1926,4;1897,59;1897,59
Tesouro Prefixado;01/01/2023;26/05/2022;13,39;13,51;927,46;926,41;926,41
Tesouro Prefixado;01/07/2024;26/05/2022;12,7;12,82;779,88;777,78;777,78
Tesouro Prefixado;01/01/2029;26/05/2022;12,36;12,48;464,73;461,27;461,27
Tesouro Prefixado com Juros Semestrais;01/01/2025;26/05/2022;12,53;12,65;987,34;984,51;984,51
Tesouro IPCA+ com Juros Semestrais;15/05/2035;26/05/2022;5,72;5,84;4075,07;4030,95;4030,95
Tesouro Prefixado;01/01/2026;26/05/2022;12,28;12,4;659,09;656,26;656,26
Tesouro Selic;01/03/2025;26/05/2022;0,12;0,13;11670,97;11662,14;11662,14
Tesouro IPCA+ com Juros Semestrais;15/08/2032;26/05/2022;5,7;5,82;4120,84;4083,32;4083,32
Tesouro IPCA+ com Juros Semestrais;15/08/2030;26/05/2022;5,61;5,73;4131,11;4098,95;4098,95
Tesouro IPCA+ com Juros Semestrais;15/08/2040;26/05/2022;5,73;5,85;4152,32;4097,89;4097,89
Tesouro IPCA+ com Juros Semestrais;15/08/2050;26/05/2022;5,82;5,94;4133,72;4067,36;4067,36
Tesouro Selic;01/03/2027;26/05/2022;0,17;0,18;11614,22;11603,1;11603,1
Tesouro Prefixado com Juros Semestrais;01/01/2023;08/04/2022;12,9;13,02;1007,86;1006,62;1006,62
Tesouro Prefixado;01/01/2025;08/04/2022;11,8;11,92;738,12;735,64;735,64
Tesouro Prefixado com Juros Semestrais;01/01/2029;08/04/2022;11,63;11,75;956,63;951,23;951,23
Tesouro IPCA+ com Juros Semestrais;15/08/2024;08/04/2022;5,34;5,46;3995,13;3978,1;3978,1
Tesouro IPCA+;15/08/2026;08/04/2022;5,17;5,29;3136,36;3115,39;3115,39
Tesouro Prefixado com Juros Semestrais;01/01/2033;08/04/2022;11,67;11,79;931,29;924,45;924,45
Tesouro IPCA+ com Juros Semestrais;15/05/2045;08/04/2022;5,55;5,67;4228,45;4159,98;4159,98
Tesouro IGPM+ com Juros Semestrais;01/01/2031;08/04/2022;5,3;5,42;9396,04;9315,19;9315,19
Tesouro IPCA+ com Juros Semestrais;15/05/2055;08/04/2022;5,56;5,68;4261,45;4182,2;4182,2
Tesouro IPCA+ com Juros Semestrais;15/08/2026;08/04/2022;5,19;5,31;4058,25;4033,3;4033,3
Tesouro Selic;01/03/2023;08/04/2022;0,01;0,02;11539,29;11533,17;11533,17
Tesouro Selic;01/09/2024;08/04/2022;0,06;0,07;11524,02;11516,16;11516,16
Tesouro Prefixado com Juros Semestrais;01/01/2031;08/04/2022;11,68;11,8;941,52;935,32;935,32
Tesouro IPCA+;15/05/2035;08/04/2022;5,42;5,54;1960,53;1928,23;1928,23
Tesouro Prefixado;01/01/2023;08/04/2022;12,89;13,01;915,71;914,56;914,56
Tesouro Prefixado;01/07/2024;08/04/2022;12,08;12,2;777,54;775,35;775,35
Tesouro Prefixado;01/01/2029;08/04/2022;11,62;11,74;478,64;475;475
Tesouro Prefixado com Juros Semestrais;01/01/2025;08/04/2022;11,88;12;986,17;983,21;983,21
Tesouro IPCA+ com Juros Semestrais;15/05/2035;08/04/2022;5,39;5,51;4220,28;4169,13;4169,13
Tesouro Prefixado;01/01/2026;08/04/2022;11,62;11,74;663,9;660,95;660,95
Tesouro Selic;01/03/2025;08/04/2022;0,07;0,08;11516,67;11508,23;11508,23
Tesouro Prefixado com Juros Semestrais;01/01/2027;08/04/2022;11,64;11,76;971,44;967,1;967,1
Tesouro IPCA+;15/08/2024;08/04/2022;5,33;5,45;3457,44;3442,16;3442,16
Tesouro IPCA+;15/05/2045;08/04/2022;5,42;5,54;1158,19;1126,26;1126,26
Tesouro IPCA+ com Juros Semestrais;15/08/2032;08/04/2022;5,37;5,49;4131,6;4087,57;4087,57
Tesouro IPCA+ com Juros Semestrais;15/08/2030;08/04/2022;5,29;5,41;4124,44;4086,03;4086,03
Tesouro IPCA+ com Juros Semestrais;15/08/2040;08/04/2022;5,45;5,57;4187,59;4125,83;4125,83
Tesouro IPCA+ com Juros Semestrais;15/08/2050;08/04/2022;5,56;5,68;4187,29;4112,63;4112,63
